Test Name,Status,Config Pass Count,Config Fail Count,Test Pass Count,Test Fail Count,Test Skip Count,
com.agilysys.qa.gridIron.service.account.TestARFolios.testCreateProfileWithAR,TEST SKIPPED,26,7,0,0,20,
com.agilysys.qa.gridIron.service.account.TestARFolios.wrapperAfterMethod,CONFIG PASS,27,7,0,0,20,
com.agilysys.qa.gridIron.service.account.TestARFolios.testMakePayment,TEST SKIPPED,27,7,0,0,21,
com.agilysys.qa.gridIron.service.account.TestARFolios.wrapperAfterMethod,CONFIG PASS,28,7,0,0,21,
com.agilysys.qa.gridIron.service.account.TestARFolios.testTransfer,TEST SKIPPED,28,7,0,0,22,
com.agilysys.qa.gridIron.service.account.TestARFolios.wrapperAfterMethod,CONFIG PASS,29,7,0,0,22,
com.agilysys.qa.gridIron.service.account.TestARFolios.defaultAfterClass,CONFIG PASS,30,7,0,0,22,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.beforeClass,CONFIG FAIL,30,8,0,0,22,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.testAddCharge,TEST SKIPPED,30,8,0,0,23,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.wrapperAfterMethod,CONFIG PASS,31,8,0,0,23,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.testAddCredit,TEST SKIPPED,31,8,0,0,24,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.wrapperAfterMethod,CONFIG PASS,32,8,0,0,24,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.testCreateHouseAccount,TEST SKIPPED,32,8,0,0,25,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.wrapperAfterMethod,CONFIG PASS,33,8,0,0,25,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.testMakePayment,TEST SKIPPED,33,8,0,0,26,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.wrapperAfterMethod,CONFIG PASS,34,8,0,0,26,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.testTransfer,TEST SKIPPED,34,8,0,0,27,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.wrapperAfterMethod,CONFIG PASS,35,8,0,0,27,
com.agilysys.qa.gridIron.service.account.TestCreateHouseAccountAndFolios.defaultAfterClass,CONFIG PASS,36,8,0,0,27,
com.agilysys.qa.gridIron.common.TestSearch.beforeClass,CONFIG FAIL,36,9,0,0,27,
com.agilysys.qa.gridIron.common.TestSearch.testSearchCompanyProfileByCompanyCode,TEST SKIPPED,36,9,0,0,28,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,37,9,0,0,28,
com.agilysys.qa.gridIron.common.TestSearch.testSearchCompanyProfileByCompanyName,TEST SKIPPED,37,9,0,0,29,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,38,9,0,0,29,
com.agilysys.qa.gridIron.common.TestSearch.testSearchGuestProfileByEmail,TEST SKIPPED,38,9,0,0,30,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,39,9,0,0,30,
com.agilysys.qa.gridIron.common.TestSearch.testSearchGuestProfileByFullLastName,TEST SKIPPED,39,9,0,0,31,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,40,9,0,0,31,
com.agilysys.qa.gridIron.common.TestSearch.testSearchGuestProfileByFullName,TEST SKIPPED,40,9,0,0,32,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,41,9,0,0,32,
com.agilysys.qa.gridIron.common.TestSearch.testSearchGuestProfileByPartialFirstName,TEST SKIPPED,41,9,0,0,33,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,42,9,0,0,33,
com.agilysys.qa.gridIron.common.TestSearch.testSearchGuestProfileByPartialLastName,TEST SKIPPED,42,9,0,0,34,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,43,9,0,0,34,
com.agilysys.qa.gridIron.common.TestSearch.testSearchGuestProfileByPhoneNumber,TEST SKIPPED,43,9,0,0,35,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,44,9,0,0,35,
com.agilysys.qa.gridIron.common.TestSearch.testSearchGuestProfileWByFullFirstName,TEST SKIPPED,44,9,0,0,36,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,45,9,0,0,36,
com.agilysys.qa.gridIron.common.TestSearch.testSearchReservationByConfirmationNumber,TEST SKIPPED,45,9,0,0,37,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,46,9,0,0,37,
com.agilysys.qa.gridIron.common.TestSearch.testSearchReservationByFirstName,TEST SKIPPED,46,9,0,0,38,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,47,9,0,0,38,
com.agilysys.qa.gridIron.common.TestSearch.testSearchReservationByFullName,TEST SKIPPED,47,9,0,0,39,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,48,9,0,0,39,
com.agilysys.qa.gridIron.common.TestSearch.testSearchReservationByLastName,TEST SKIPPED,48,9,0,0,40,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,49,9,0,0,40,
com.agilysys.qa.gridIron.common.TestSearch.testSearchReservationByPartialConfirmationNumber,TEST SKIPPED,49,9,0,0,41,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,50,9,0,0,41,
com.agilysys.qa.gridIron.common.TestSearch.testSearchRoomByFirstName,TEST SKIPPED,50,9,0,0,42,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,51,9,0,0,42,
com.agilysys.qa.gridIron.common.TestSearch.testSearchRoomByFullName,TEST SKIPPED,51,9,0,0,43,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,52,9,0,0,43,
com.agilysys.qa.gridIron.common.TestSearch.testSearchRoomByLastName,TEST SKIPPED,52,9,0,0,44,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,53,9,0,0,44,
com.agilysys.qa.gridIron.common.TestSearch.testSearchRoomByRoomNumber,TEST SKIPPED,53,9,0,0,45,
com.agilysys.qa.gridIron.common.TestSearch.wrapperAfterMethod,CONFIG PASS,54,9,0,0,45,
com.agilysys.qa.gridIron.common.TestSearch.defaultAfterClass,CONFIG PASS,55,9,0,0,45,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.beforeClass,CONFIG FAIL,55,10,0,0,45,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.beforeClass,CONFIG FAIL,55,11,0,0,45,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.testCancelReservation,TEST SKIPPED,55,11,0,0,46,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.testCancelReservation,TEST SKIPPED,55,11,0,0,47,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.wrapperAfterMethod,CONFIG PASS,56,11,0,0,47,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.wrapperAfterMethod,CONFIG PASS,57,11,0,0,47,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.testCheckinReservation,TEST SKIPPED,57,11,0,0,48,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.testCheckinReservation,TEST SKIPPED,57,11,0,0,49,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.wrapperAfterMethod,CONFIG PASS,58,11,0,0,49,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.wrapperAfterMethod,CONFIG PASS,59,11,0,0,49,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.testEarlyCheckoutReservation,TEST SKIPPED,59,11,0,0,50,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.testEarlyCheckoutReservation,TEST SKIPPED,59,11,0,0,51,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.wrapperAfterMethod,CONFIG PASS,60,11,0,0,51,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.wrapperAfterMethod,CONFIG PASS,61,11,0,0,51,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.testUndoCancelReservation,TEST SKIPPED,61,11,0,0,52,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.testUndoCancelReservation,TEST SKIPPED,61,11,0,0,53,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.wrapperAfterMethod,CONFIG PASS,62,11,0,0,53,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.testUndoCheckinReservation,TEST SKIPPED,63,11,0,0,54,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.wrapperAfterMethod,CONFIG PASS,63,11,0,0,53,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.wrapperAfterMethod,CONFIG PASS,64,11,0,0,54,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.testUndoCheckinReservation,TEST SKIPPED,64,11,0,0,55,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.testUndoCheckoutReservation,TEST SKIPPED,64,11,0,0,56,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.wrapperAfterMethod,CONFIG PASS,65,11,0,0,56,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.wrapperAfterMethod,CONFIG PASS,66,11,0,0,56,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.testUndoCheckoutReservation,TEST SKIPPED,66,11,0,0,57,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.wrapperAfterMethod,CONFIG PASS,67,11,0,0,58,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.testZNoShowCancelReservation,TEST SKIPPED,67,11,0,0,59,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.testZNoShowCancelReservation,TEST SKIPPED,66,11,0,0,58,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.wrapperAfterMethod,CONFIG PASS,68,11,0,0,59,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.wrapperAfterMethod,CONFIG PASS,69,11,0,0,59,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCCReservation.defaultAfterClass,CONFIG PASS,70,11,0,0,59,
com.agilysys.qa.gridIron.service.reservation.TestModifyStayforCashReservation.defaultAfterClass,CONFIG PASS,71,11,0,0,59,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationEstimatedCharges.beforeClass,CONFIG FAIL,71,12,0,0,59,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationEstimatedCharges.testAddRecurringChargeInventoryItemEveryN,TEST SKIPPED,71,12,0,0,60,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationEstimatedCharges.wrapperAfterMethod,CONFIG PASS,72,12,0,0,60,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationEstimatedCharges.testAddRecurringChargeInventoryItemFirstNightOnly,TEST SKIPPED,72,12,0,0,61,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationEstimatedCharges.wrapperAfterMethod,CONFIG PASS,73,12,0,0,61,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationEstimatedCharges.testAddRecurringChargeTransactionItemEveryN,TEST SKIPPED,73,12,0,0,62,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationEstimatedCharges.wrapperAfterMethod,CONFIG PASS,74,12,0,0,62,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationEstimatedCharges.testAddRecurringChargeTransactionItemFirstNightOnly,TEST SKIPPED,74,12,0,0,63,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationEstimatedCharges.wrapperAfterMethod,CONFIG PASS,75,12,0,0,63,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationEstimatedCharges.testAddRecurringChargeWithTransactionAndInventoryItem,TEST SKIPPED,75,12,0,0,64,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationEstimatedCharges.wrapperAfterMethod,CONFIG PASS,76,12,0,0,64,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationEstimatedCharges.defaultAfterClass,CONFIG PASS,77,12,0,0,64,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.beforeClass,CONFIG FAIL,77,13,0,0,64,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.testCreateReservationWithCash40PercentageDeposit,TEST SKIPPED,77,13,0,0,65,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.wrapperAfterMethod,CONFIG PASS,78,13,0,0,65,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.testCreateReservationWithCreditCardTwoNightDeposit,TEST SKIPPED,78,13,0,0,66,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.wrapperAfterMethod,CONFIG PASS,79,13,0,0,66,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.testCreateReservationWithDirectBillAndCreditCardFixedFeeDeposit,TEST SKIPPED,79,13,0,0,67,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.wrapperAfterMethod,CONFIG PASS,80,13,0,0,67,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.testCreateReservationWithExistingGuestWithCash,TEST SKIPPED,80,13,0,0,68,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.wrapperAfterMethod,CONFIG PASS,81,13,0,0,68,
com.agilysys.qa.gridIron.service.reservation.TestBookReservationPaymentMethods.testCreateReservationWithExistingGuestWithDirectBill,TEST SKIPPED,81,13,0,0,69,
